epoch,train_loss,val_loss,val_l1_loss,val_ssim_loss,val_psnr,val_ssim,val_hole_psnr,val_hole_ssim,val_wasserstein,val_rmse,val_kl_divergence,loss_change,psnr_realistic,learning_pattern
1,0.4800,0.3932,0.1614,0.1258,37.85,0.8601,28.90,0.6998,2.4297,6.2000,9.7288,0.0000,realistic,initial
2,0.4176,0.3799,0.1532,0.1232,38.38,0.8627,29.67,0.7128,2.3725,5.8479,9.4759,0.0624,realistic,good_learning
3,0.4004,0.3728,0.1476,0.1242,38.41,0.8647,29.89,0.7180,2.1891,5.7006,9.6706,0.0172,realistic,good_learning
4,0.3947,0.3744,0.1500,0.1222,38.01,0.8635,29.74,0.7149,2.2942,5.7820,9.7545,0.0057,realistic,normal
5,0.3923,0.3753,0.1528,0.1224,38.40,0.8680,29.64,0.7197,2.2371,5.9207,9.6133,0.0024,realistic,normal
6,0.3838,0.3639,0.1449,0.1209,38.80,0.8674,30.13,0.7215,2.1633,5.5578,9.6360,0.0085,realistic,normal
7,0.3816,0.3640,0.1439,0.1206,38.47,0.8696,30.05,0.7257,2.2236,5.5056,9.6588,0.0022,realistic,normal
8,0.3776,0.3720,0.1508,0.1223,38.51,0.8692,29.61,0.7235,2.3534,5.6901,9.6235,0.0039,realistic,normal
9,0.3721,0.3639,0.1461,0.1204,38.59,0.8710,30.06,0.7259,2.2042,5.6013,9.7148,0.0056,realistic,normal
10,0.3698,0.3492,0.1372,0.1170,39.66,0.8730,30.25,0.7258,2.0273,5.3579,9.2396,0.0023,realistic,normal
11,0.3645,0.3463,0.1324,0.1180,39.47,0.8700,30.67,0.7281,1.8607,5.0909,9.5407,0.0053,realistic,normal
12,0.3653,0.3522,0.1378,0.1175,38.93,0.8705,30.27,0.7265,2.0036,5.3617,9.6441,-0.0007,realistic,slow_learning
13,0.3589,0.3454,0.1326,0.1170,38.98,0.8717,30.57,0.7286,1.8567,5.1679,9.6764,0.0064,realistic,normal
14,0.3668,0.3410,0.1297,0.1162,39.22,0.8721,30.67,0.7290,1.8351,5.0959,9.5917,-0.0079,realistic,slow_learning
15,0.3602,0.3415,0.1304,0.1160,39.36,0.8731,30.59,0.7291,1.8556,5.0506,9.5684,0.0066,realistic,normal
16,0.3540,0.3560,0.1375,0.1212,38.59,0.8694,30.36,0.7285,2.0123,5.3594,9.6879,0.0062,realistic,normal
17,0.3570,0.3337,0.1249,0.1153,39.37,0.8737,30.95,0.7308,1.6995,4.8900,9.4266,-0.0030,realistic,slow_learning
18,0.3563,0.3442,0.1305,0.1178,39.03,0.8708,30.82,0.7309,1.8397,5.0638,9.6473,0.0007,realistic,slow_learning
19,0.3562,0.3384,0.1273,0.1170,39.03,0.8740,30.71,0.7313,1.8046,4.9882,9.6541,0.0001,realistic,slow_learning
20,0.3461,0.3461,0.1339,0.1171,39.49,0.8724,30.82,0.7315,1.8907,5.1467,9.7042,0.0101,realistic,good_learning
21,0.3481,0.3383,0.1295,0.1147,39.53,0.8738,30.82,0.7317,1.8552,5.0676,9.5219,-0.0019,realistic,slow_learning
22,0.3492,0.3317,0.1236,0.1148,39.59,0.8754,30.99,0.7333,1.7135,4.8381,9.7007,-0.0012,realistic,slow_learning
23,0.3505,0.3243,0.1214,0.1107,39.82,0.8780,31.12,0.7374,1.6770,4.7628,9.6829,-0.0013,realistic,slow_learning
24,0.3515,0.3296,0.1233,0.1135,39.64,0.8753,31.00,0.7336,1.6934,4.8448,9.4843,-0.0009,realistic,slow_learning
25,0.3518,0.3351,0.1252,0.1156,40.22,0.8728,30.99,0.7321,1.7250,4.8607,9.8090,-0.0004,realistic,slow_learning
